,index,pattern,score
0,7,['F(maj)' 'G(maj)' 'D(maj)' 'D(min)'],0.39004797077715997
1,8,['D(maj)' 'A(maj)' 'B(min)' 'C(maj)'],0.4003637258988717
2,9,['D(maj)' 'A(min)' 'B(min)' 'C(maj)'],0.40421567115845186
3,70,['D(maj)' 'E(min)' 'G(maj)' 'D(maj)'],0.3977904085602208
4,83,['A(min)' 'v' 'A(min)' 'D(min)'],0.39322799330892877
5,84,['F(maj)' 'v' 'A(min)' 'D(min)'],0.4031041481053012
6,201,['E(min)' 'E(maj)' 'A(min)' 'C(maj)'],0.3930964133788714
7,202,['C(maj)' 'E(min)' 'A(min)' 'C(maj)'],0.3889855597091921
8,203,['B(min)' 'E(maj)' 'B(maj)' 'E(maj)'],0.39185911532610224
9,206,['B(min)' 'E(maj)' 'B(maj)' 'E(maj)'],0.39185911532610224
10,209,['D(maj)' 'A(min)' 'C(maj)' 'D(maj)'],0.39156806431379426
11,225,['Db(min)' 'E(maj)' 'B(maj)' 'E(maj)'],0.39036215654444156
12,229,['E(maj)' 'A(min)' 'Gb(min)' 'B(min)'],0.39236702276536006
13,232,['v' 'C(maj)' 'F(maj)' 'B(min)'],0.40530933742997716
14,241,['D(maj)' 'D(min)' 'A(min)' 'D(min)'],0.3991541096650999
15,245,['Db(min)' 'B(maj)' 'E(maj)' 'A(maj)'],0.3944648384997762
16,269,['F(maj)' 'E(maj)' 'B(min)' 'E(min)'],0.3894114668762127
17,287,['A(maj)' 'E(min)' 'G(maj)' 'C(maj)'],0.39635260752286156
18,296,['D(maj)' 'D(min)' 'G(maj)' 'D(maj)'],0.40496960019571776
19,300,['Gb(min)' 'Gb(maj)' 'B(min)' 'A(maj)'],0.398774085173176
20,334,['D(min)' 'A(min)' 'D(maj)' 'D(min)'],0.3940931238875564
21,343,['Ab(min)' 'A(maj)' 'B(maj)' 'E(maj)'],0.3962482370815585
22,344,['Ab(min)' 'A(maj)' 'B(maj)' 'E(maj)'],0.3962482370815585
23,352,['D(maj)' 'C(maj)' 'D(min)' 'D(maj)'],0.39522319196700983
24,363,['D(maj)' 'G(maj)' 'B(min)' 'E(min)'],0.3903454433460134
25,368,['A(min)' 'D(maj)' 'G(maj)' 'B(min)'],0.39936693456262246
26,376,['VI' 'A(min)' 'F(maj)' 'D(maj)'],0.39666067227202084
27,382,['E(min)' 'A(min)' 'B(min)' 'D(maj)'],0.3907292978213759
28,385,['D(maj)' 'A(min)' 'B(min)' 'D(maj)'],0.3942261683629423
29,387,['D(maj)' 'E(min)' 'A(min)' 'B(min)'],0.39578541188560157
30,392,['F(maj)' 'A(maj)' 'A(min)' 'D(min)'],0.3930877435243161
31,428,['A(maj)' 'A(min)' 'F(maj)' 'D(min)'],0.4004150966547962
32,429,['D(min)' 'A(maj)' 'D(maj)' 'D(min)'],0.3956264691897656
33,430,['D(maj)' 'D(min)' 'A(min)' 'D(maj)'],0.392414622042531
34,436,['G(maj)' 'C(maj)' 'D(min)' 'D(maj)'],0.3903981242881053
35,442,['C(maj)' 'D(maj)' 'C(maj)' 'D(maj)'],0.3929365418765882
36,459,['Gb(min)' 'B(min)' 'B(maj)' 'VI'],0.3909534861206945
37,461,['D(maj)' 'E(maj)' 'E(min)' 'D(maj)'],0.3944673509025879
38,485,['Db(min)' 'Gb(maj)' 'E(maj)' 'Gb(maj)'],0.40097182463481246
39,486,['Gb(min)' 'A(maj)' 'F(maj)' 'E(min)'],0.3943837594282215
40,487,['A(min)' 'F(maj)' 'G(maj)' 'D(maj)'],0.3924231502680314
41,490,['A(min)' 'A(maj)' 'C(maj)' 'F(maj)'],0.3893967170470763
42,496,['F(maj)' 'D(min)' 'B(min)' 'E(maj)'],0.39043879711226026
43,518,['Ab(min)' 'A(maj)' 'B(maj)' 'E(maj)'],0.3962482370815585
44,535,['E(min)' 'E(maj)' 'E(min)' 'C(maj)'],0.39345830406972127
45,546,['VI' 'E(maj)' 'F(maj)' 'D(maj)'],0.40097003123106667
46,555,['D(maj)' 'A(maj)' 'C(maj)' 'F(maj)'],0.3937135684040888
47,556,['D(maj)' 'A(maj)' 'C(maj)' 'F(maj)'],0.3937135684040888
48,559,['B(min)' 'B(maj)' 'E(maj)' 'A(maj)'],0.391395211621631
49,561,['B(maj)' 'E(maj)' 'B(min)' 'B(maj)'],0.4149656673718846
50,575,['D(maj)' 'G(maj)' 'D(maj)' 'B(maj)'],0.38973287769253157
51,588,['D(maj)' 'D(min)' 'F(maj)' 'E(maj)'],0.3973493045841255
52,591,['D(maj)' 'G(maj)' 'F(maj)' 'D(maj)'],0.40139511655463206
53,593,['F(maj)' 'A(min)' 'F(maj)' 'D(min)'],0.4073140195760007
54,608,['Gb(min)' 'Gb(maj)' 'Gb(min)' 'G(maj)'],0.4112558030667352
55,609,['Db(maj)' 'Gb(min)' 'Gb(maj)' 'Gb(min)'],0.38910746762446385
56,639,['A(maj)' 'D(maj)' 'B(min)' 'D(maj)'],0.39320882590313744
57,651,['B(maj)' 'G(maj)' 'A(maj)' 'B(maj)'],0.40203064308637926
58,652,['F(maj)' 'A(maj)' 'F(maj)' 'D(maj)'],0.3962043841980986
59,663,['A(min)' 'B(min)' 'C(maj)' 'D(maj)'],0.3974550239153536
60,686,['E(min)' 'F(maj)' 'A(min)' 'B(min)'],0.4011985283761271
61,687,['D(min)' 'D(maj)' 'A(min)' 'D(min)'],0.3988474743036465
62,698,['A(maj)' 'F(maj)' 'G(maj)' 'B(min)'],0.4030999369777416
63,708,['A(min)' 'C(maj)' 'B(min)' 'B(maj)'],0.39873899966542525
64,709,['A(min)' 'C(maj)' 'B(min)' 'B(maj)'],0.39873899966542525
