,index,outlier,score
0,11,['iii' 'IV' 'V' 'vi'],0.4059261521366154
1,20,['G(min)' 'vi' 'I' 'G(min)'],0.41356271991130117
2,25,['G(min)' 'IV' 'V' 'IV'],0.4104530529487695
3,26,['I' 'G(min)' 'I' 'IV'],0.4101921331540533
4,27,['IV' 'G(min)' 'I' 'IV'],0.415734688274468
5,28,['IV' 'G(min)' 'I' 'IV'],0.415734688274468
6,29,['IV' 'G(min)' 'I' 'IV'],0.415734688274468
7,30,['G(min)' 'A#(maj)' 'I' 'IV'],0.4061986516923292
8,42,['iii' 'vi' 'iii' 'IV'],0.42153078876991706
9,70,['Eb(maj)' 'Bb(maj)' 'IV' 'G(min)'],0.4164587350604048
10,88,['D(maj)' 'iii' 'D(maj)' 'V'],0.40876164162584955
11,98,['ii' 'D(maj)' 'I' 'D(maj)'],0.42311092364509717
12,99,['D(maj)' 'I' 'D(maj)' 'IV'],0.422917919355678
13,109,['iii' 'IV' 'V' 'vi'],0.4059261521366154
14,112,['IV' 'ii' 'I' 'G(min)'],0.40707680184964684
15,113,['I' 'G(min)' 'I' 'G(min)'],0.40614429030932536
16,114,['C(min)' 'V' 'F(min)' 'ii'],0.42609905180795443
17,124,['vi' 'D(maj)' 'ii' 'IV'],0.42531015148209794
18,189,['IV' 'F(min)' 'I' 'IV'],0.40629007449973453
19,212,['ii' 'vi' 'A(maj)' 'IV'],0.4166515448862362
20,215,['I' 'V' 'F(min)' 'C(min)'],0.4073108065282119
21,221,['G(min)' 'IV' 'I' 'G(min)'],0.40910982638138665
22,222,['G(min)' 'IV' 'I' 'G(min)'],0.40910982638138665
23,223,['iii' 'B(min)' 'V' 'vi'],0.4114887611197475
24,252,['D(maj)' 'iii' 'D(maj)' 'V'],0.40876164162584955
25,253,['vi' 'ii' 'G(min)' 'C(min)'],0.4343480516025039
26,256,['Eb(maj)' 'vi' 'ii' 'G(min)'],0.421927980182211
27,268,['iii' 'V/vi' 'vi' 'IV'],0.41548274157051585
28,272,['iii' 'V/vi' 'vi' 'IV'],0.41548274157051585
29,286,['iii' 'vi' 'I' 'IV'],0.4223736376157039
30,292,['I' 'iii' 'vi' 'IV'],0.4165273725747328
31,297,['iii' 'IV' 'V' 'vi'],0.4059261521366154
32,310,['IV' 'I' 'G(min)' 'C(min)'],0.4133848819513174
33,311,['G(min)' 'C(min)' 'G(min)' 'V'],0.42113175381354323
34,312,['G(min)' 'V' 'C(min)' 'I'],0.4073401836464672
35,316,['G(min)' 'IV' 'I' 'G(min)'],0.40910982638138665
36,317,['I' 'G(min)' 'C(min)' 'G(min)'],0.4246980797349085
37,318,['C(min)' 'G(min)' 'V' 'C(min)'],0.43391551233529946
38,338,['V' 'I' 'C(min)' 'IV'],0.41403004692541323
39,390,['D(maj)' 'Bb(maj)' 'V' 'vi'],0.41776632967728816
40,395,['ii' 'iii' 'ii' 'V'],0.40599984816859047
41,399,['IV' 'Bb(maj)' 'I' 'IV'],0.4110907491207931
42,403,['E(maj)' 'G(min)' 'D(maj)' 'G(min)'],0.42984258813340587
43,404,['vi' 'E(maj)' 'G(min)' 'D(maj)'],0.43632400786609604
44,415,['vi' 'ii' 'V' 'vi'],0.41186604148016276
45,417,['I' 'G(min)' 'ii' 'G(min)'],0.42162345620450675
46,418,['vi' 'iii' 'V' 'IV'],0.4171561982269195
47,421,['V' 'D(maj)' 'ii' 'V'],0.4046279188926853
48,422,['Eb(maj)' 'C(min)' 'I' 'C(min)'],0.42082497296502447
49,427,['IV' 'iii' 'E(maj)' 'IV'],0.41095907503053863
50,450,['V' 'I' 'C(min)' 'IV'],0.41403004692541323
51,451,['IV' 'I' 'C(min)' 'IV'],0.4119771316555657
52,474,['IV' 'ii' 'V' 'D(maj)'],0.40914476144603096
53,518,['G(min)' 'IV' 'I' 'G(min)'],0.40910982638138665
54,528,['IV' 'vi' 'A(maj)' 'IV'],0.4060241684442111
55,548,['vi' 'Bb(maj)' 'G(min)' 'I'],0.4089785862978549
56,558,['I' 'Eb(maj)' 'C(min)' 'V'],0.40943142074452943
57,567,['V' 'IV' 'G(min)' 'C(min)'],0.4182639068983785
58,576,['I' 'A(maj)' 'V' 'A(maj)'],0.4120408280819468
59,577,['V' 'A(maj)' 'V' 'A(maj)'],0.42037042982838746
60,584,['I' 'vi' 'V' 'A(maj)'],0.4053483754707869
61,585,['I' 'vi' 'V' 'A(maj)'],0.4053483754707869
62,586,['I' 'vi' 'V' 'A(maj)'],0.4053483754707869
63,594,['D(maj)' 'ii' 'V' 'IV'],0.41982196256718646
64,616,['G(min)' 'C(min)' 'I' 'G(min)'],0.4189871189257486
65,617,['I' 'G(min)' 'C(min)' 'G(min)'],0.4246980797349085
66,618,['C(min)' 'G(min)' 'I' 'C(min)'],0.43600283912702603
67,619,['C(min)' 'I' 'G(min)' 'C(min)'],0.4247375282864886
68,620,['G(min)' 'C(min)' 'G(min)' 'I'],0.4218115406030103
69,634,['iii' 'vi' 'ii' 'V'],0.4068761517130045
70,637,['C(min)' 'V' 'I' 'IV'],0.41439835401299857
71,653,['A(maj)' 'vi' 'I' 'D(maj)'],0.42764241320539126
72,655,['D(maj)' 'IV' 'I' 'ii'],0.411038931598345
73,656,['ii' 'IV' 'V' 'ii'],0.40540177678642164
74,657,['ii' 'IV' 'V' 'ii'],0.40540177678642164
75,658,['ii' 'IV' 'V' 'ii'],0.40540177678642164
76,759,['F(min)' 'Ab(maj)' 'I' 'IV'],0.41147569657466626
77,775,['vi' 'iii' 'V' 'vi'],0.40707137742628324
78,787,['IV' 'Eb(maj)' 'G(min)' 'C(min)'],0.43808673622211647
79,788,['G(min)' 'C(min)' 'I' 'G(min)'],0.4189871189257486
80,790,['Eb(maj)' 'IV' 'I' 'G(min)'],0.4061890938460472
81,791,['I' 'G(min)' 'I' 'G(min)'],0.40614429030932536
82,792,['Eb(maj)' 'G(min)' 'C(min)' 'I'],0.4268798976609821
83,794,['C(min)' 'G(min)' 'IV' 'G(min)'],0.4230363309405017
84,828,['F(min)' 'I' 'C(min)' 'F(min)'],0.4122732437750784
85,830,['Ab(maj)' 'F(min)' 'C(min)' 'I'],0.4125016820723354
86,831,['C(min)' 'I' 'C(min)' 'F(min)'],0.419730663263165
87,853,['D(maj)' 'ii' 'V' 'D(maj)'],0.4250131434705455
88,854,['V' 'D(maj)' 'V' 'D(maj)'],0.40982107821172886
89,855,['V' 'D(maj)' 'V' 'D(maj)'],0.40982107821172886
90,858,['V' 'vi' 'A(maj)' 'IV'],0.40444500227466823
91,875,['vi' 'D(maj)' 'G(min)' 'I'],0.4110153757380222
92,876,['IV' 'vi' 'D(maj)' 'G(min)'],0.4078632212033735
93,878,['Eb(maj)' 'IV' 'D(maj)' 'G(min)'],0.41680616079217864
94,886,['I' 'G(min)' 'V' 'IV'],0.40651516281731725
