,index,outlier,score
0,24,vi,0.5211389004144182
1,88,D(maj),0.514158891661946
2,99,D(maj),0.514158891661946
3,100,G(min),0.5012844395396513
4,110,G(min),0.5012844395396513
5,111,G(min),0.5012844395396513
6,114,F(min),0.531675187881862
7,116,G(min),0.5012844395396513
8,215,F(min),0.531675187881862
9,251,D(maj),0.514158891661946
10,252,D(maj),0.514158891661946
11,253,G(min),0.5012844395396513
12,268,vi,0.5211389004144182
13,270,vi,0.5211389004144182
14,272,vi,0.5211389004144182
15,285,G(min),0.5012844395396513
16,292,vi,0.5211389004144182
17,310,G(min),0.5012844395396513
18,311,G(min),0.5012844395396513
19,312,C(min),0.5412086816653819
20,317,C(min),0.5412086816653819
21,338,C(min),0.5412086816653819
22,355,D(maj),0.514158891661946
23,371,D(maj),0.514158891661946
24,387,F(min),0.531675187881862
25,403,D(maj),0.514158891661946
26,404,G(min),0.5012844395396513
27,428,D(maj),0.514158891661946
28,446,D(maj),0.514158891661946
29,450,C(min),0.5412086816653819
30,451,C(min),0.5412086816653819
31,497,D(maj),0.514158891661946
32,498,D(maj),0.514158891661946
33,523,F(min),0.531675187881862
34,548,G(min),0.5012844395396513
35,549,G(min),0.5012844395396513
36,550,G(min),0.5012844395396513
37,558,C(min),0.5412086816653819
38,559,D(maj),0.514158891661946
39,565,D(maj),0.514158891661946
40,567,G(min),0.5012844395396513
41,612,D(maj),0.514158891661946
42,617,C(min),0.5412086816653819
43,619,G(min),0.5012844395396513
44,620,G(min),0.5012844395396513
45,635,C(min),0.5412086816653819
46,672,D(maj),0.514158891661946
47,692,D(maj),0.514158891661946
48,720,D(maj),0.514158891661946
49,721,D(maj),0.514158891661946
50,729,F(min),0.531675187881862
51,734,C(min),0.5412086816653819
52,758,C(min),0.5412086816653819
53,786,G(min),0.5012844395396513
54,787,G(min),0.5012844395396513
55,792,C(min),0.5412086816653819
56,793,G(min),0.5012844395396513
57,804,G(min),0.5012844395396513
58,828,C(min),0.5412086816653819
59,830,C(min),0.5412086816653819
60,831,C(min),0.5412086816653819
61,840,D(maj),0.514158891661946
62,841,D(maj),0.514158891661946
63,875,G(min),0.5012844395396513
64,876,D(maj),0.514158891661946
65,878,D(maj),0.514158891661946
66,901,C(min),0.5412086816653819
67,902,C(min),0.5412086816653819
68,912,F(min),0.531675187881862
69,916,vi,0.5211389004144182
70,936,F(min),0.531675187881862
71,937,F(min),0.531675187881862
72,938,G(min),0.5012844395396513
73,1002,G(min),0.5012844395396513
74,1020,vi,0.5211389004144182
75,1030,vi,0.5211389004144182
76,1081,D(maj),0.514158891661946
77,1085,F(min),0.531675187881862
78,1122,F(min),0.531675187881862
79,1141,G(min),0.5012844395396513
80,1142,G(min),0.5012844395396513
81,1176,vi,0.5211389004144182
82,1178,vi,0.5211389004144182
83,1185,C(min),0.5412086816653819
84,1209,D(maj),0.514158891661946
85,1223,C(min),0.5412086816653819
86,1258,G(min),0.5012844395396513
87,1281,G(min),0.5012844395396513
88,1288,D(maj),0.514158891661946
89,1291,vi,0.5211389004144182
90,1325,F(min),0.531675187881862
91,1343,vi,0.5211389004144182
92,1357,D(maj),0.514158891661946
93,1365,G(min),0.5012844395396513
94,1366,G(min),0.5012844395396513
95,1371,G(min),0.5012844395396513
96,1372,G(min),0.5012844395396513
97,1373,G(min),0.5012844395396513
98,1384,F(min),0.531675187881862
99,1389,G(min),0.5012844395396513
100,1390,G(min),0.5012844395396513
101,1391,G(min),0.5012844395396513
102,1392,G(min),0.5012844395396513
103,1393,D(maj),0.514158891661946
104,1417,C(min),0.5412086816653819
105,1421,G(min),0.5012844395396513
106,1423,G(min),0.5012844395396513
107,1424,G(min),0.5012844395396513
108,1435,G(min),0.5012844395396513
109,1436,G(min),0.5012844395396513
110,1454,D(maj),0.514158891661946
111,1458,C(min),0.5412086816653819
112,1459,D(maj),0.514158891661946
113,1460,vi,0.5211389004144182
114,1475,G(min),0.5012844395396513
115,1476,D(maj),0.514158891661946
116,1477,C(min),0.5412086816653819
117,1481,G(min),0.5012844395396513
118,1482,D(maj),0.514158891661946
119,1579,D(maj),0.514158891661946
120,1589,vi,0.5211389004144182
121,1662,C(min),0.5412086816653819
122,1672,D(maj),0.514158891661946
123,1693,C(min),0.5412086816653819
124,1694,D(maj),0.514158891661946
125,1716,G(min),0.5012844395396513
126,1742,C(min),0.5412086816653819
127,1743,C(min),0.5412086816653819
128,1744,C(min),0.5412086816653819
129,1765,G(min),0.5012844395396513
130,1780,G(min),0.5012844395396513
131,1782,C(min),0.5412086816653819
132,1784,C(min),0.5412086816653819
133,1785,C(min),0.5412086816653819
134,1788,C(min),0.5412086816653819
135,1804,G(min),0.5012844395396513
136,1805,G(min),0.5012844395396513
137,1814,F(min),0.531675187881862
138,1826,G(min),0.5012844395396513
139,1827,G(min),0.5012844395396513
140,1846,G(min),0.5012844395396513
141,1849,C(min),0.5412086816653819
142,1850,F(min),0.531675187881862
143,1856,G(min),0.5012844395396513
144,1857,G(min),0.5012844395396513
145,1859,G(min),0.5012844395396513
146,1860,G(min),0.5012844395396513
147,1865,G(min),0.5012844395396513
148,1871,D(maj),0.514158891661946
149,1882,F(min),0.531675187881862
150,1883,F(min),0.531675187881862
151,1884,F(min),0.531675187881862
152,1888,G(min),0.5012844395396513
153,1896,G(min),0.5012844395396513
154,1898,G(min),0.5012844395396513
155,1920,D(maj),0.514158891661946
156,1922,D(maj),0.514158891661946
157,1987,G(min),0.5012844395396513
158,1988,G(min),0.5012844395396513
159,1992,D(maj),0.514158891661946
160,2032,G(min),0.5012844395396513
161,2047,D(maj),0.514158891661946
162,2069,vi,0.5211389004144182
163,2106,G(min),0.5012844395396513
164,2107,G(min),0.5012844395396513
165,2127,D(maj),0.514158891661946
166,2135,G(min),0.5012844395396513
