,outlier_value,outlier_title,origin_context,centroid,covariance,fit_context,new_centroid,new_covariance,score
0,[ 70.724 -18.054],Out Of Stadion - Original,Blue Oyster Cult,[131.38930769 -10.12845192],"[[972.51414744   6.1034896 ]
 [  6.1034896    8.78511227]]",John Surman_ John Taylor_ Salisbury Festival Chorus_ Howard Moody,[ 71.67066667 -19.44933333],"[[14.25496922 -5.74804711]
 [-5.74804711  8.37853056]]",0.48206345826249736
1,[142.76  -20.142],Ginger Snaps - Original,Blue Oyster Cult,[131.38930769 -10.12845192],"[[972.51414744   6.1034896 ]
 [  6.1034896    8.78511227]]",Chick Corea / Béla Fleck,[132.43741667 -20.06775   ],"[[2158.20177708   52.77022381]
 [  52.77022381    2.94195702]]",0.3375987008726318
2,[209.724 -27.067],Remodeling - Original,Blue Oyster Cult,[131.38930769 -10.12845192],"[[972.51414744   6.1034896 ]
 [  6.1034896    8.78511227]]",Ralph Towner_ Gary Peacock,[135.554  -25.4392],"[[2506.352751    -52.0135148 ]
 [ -52.0135148     3.42675236]]",1.4826464085735263
3,[  0.    -14.695],Shadows - Original,Blue Oyster Cult,[131.38930769 -10.12845192],"[[972.51414744   6.1034896 ]
 [  6.1034896    8.78511227]]",Cherryholmes,[112.841      -12.02733333],"[[3.51865407e+03 3.99434313e+01]
 [3.99434313e+01 3.01810856e+00]]",2.0901014405236586
4,[156.591 -18.583],Loc'in On The Shaw,Tone-Loc,[126.87376 -10.6174 ],"[[1596.93565086  -29.74006626]
 [ -29.74006626   11.92021092]]",Terje Rypdal_ Torbjørn Sunde_ Brynjulf Blix_ Sveinung Hovensjø_ Svein Christiansen,[137.35066667 -18.50233333],"[[2101.65697356   43.68305722]
 [  43.68305722    3.57398656]]",0.5126119656412045
5,[173.94  -23.073],Midnight Comes (Album Version),Meic Stevens,[132.19671429 -15.32785714],"[[1727.8976112    58.34573904]
 [  58.34573904   16.58167198]]",Alva Noto + Ryuichi Sakamoto,[152.7665 -23.2155],"[[930.78935025  24.61749975]
 [ 24.61749975   2.02419575]]",0.7801235795875511
6,[84.108 -7.193],The Art Of Losing (Live-Milwaukee),American Hi-Fi,[125.60113462  -4.70021154],"[[657.74661446  -2.46629116]
 [ -2.46629116   2.13830313]]",Cham,[107.60718182  -6.92268182],"[[1551.50945215  -14.47563424]
 [ -14.47563424    2.44923431]]",0.6778548213208178
7,[179.518  -8.17 ],Another Perfect Day (Live-Milwaukee),American Hi-Fi,[125.60113462  -4.70021154],"[[657.74661446  -2.46629116]
 [ -2.46629116   2.13830313]]",Los Violadores,[160.76215152  -8.23881818],"[[1.05622626e+03 7.86799700e-01]
 [7.86799700e-01 1.00744777e+01]]",0.577368168713214
8,[168.854 -15.91 ],Vale Of Cashmere,Lady Bug Transistor,[115.50723077  -9.83130769],"[[508.37316525  -6.42815797]
 [ -6.42815797   5.22676821]]",Leo Kottke;Michael Gordon,[159.1355   -16.059375],"[[810.2811895   -0.96951869]
 [ -0.96951869   2.86951473]]",0.3544020412187277
9,[123.742 -12.145],So Blind,The Ladybug Transistor,[132.636125   -7.4364375],"[[454.13754998  -2.48782645]
 [ -2.48782645   3.92998525]]",Julie Fowlis,[123.15177778 -12.11469444],"[[1501.66115795   31.93272507]
 [  31.93272507    6.47474005]]",0.023428405910946325
10,[165.789 -31.947],Tuning a Stray,Deerhoof,[117.2850283  -9.0405   ],"[[960.7580771   11.80239531]
 [ 11.80239531  19.57827699]]",David Zinman;Pittsburgh Symphony Orchestra,[124.640125 -25.658375],"[[760.25067811  11.9322618 ]
 [ 11.9322618   14.70024798]]",2.353840659328106
11,[ 75.368 -19.995],Sound the Alarm,Deerhoof,[117.2850283  -9.0405   ],"[[960.7580771   11.80239531]
 [ 11.80239531  19.57827699]]",Sir Charles Mackerras/Scottish Chamber Orchestra/Edinburgh Festival Chorus,[ 78.2424 -19.7146],"[[515.75984044  -4.31133916]
 [ -4.31133916   1.47353964]]",0.28370727793718153
12,[150.676 -21.89 ],Kneil,Deerhoof,[117.2850283  -9.0405   ],"[[960.7580771   11.80239531]
 [ 11.80239531  19.57827699]]",John Surman_ John Abercrombie_ Drew Gress_ Jack DeJohnette,[132.184 -21.784],"[[2.75652397e+03 4.00810950e+01]
 [4.00810950e+01 1.42738567e+00]]",0.5389332358117102
13,[  0.    -18.274],Gold On Black (live),Deerhoof,[117.2850283  -9.0405   ],"[[960.7580771   11.80239531]
 [ 11.80239531  19.57827699]]",Rabih Abou-Khalil / Joachim Kühn / Jarrod Cagwin,[108.58066667 -17.07533333],"[[3.76174168e+03 6.11273642e+01]
 [6.11273642e+01 2.39470922e+00]]",1.8337150989856363
14,[199.974  -8.154],Don't Look Any Further,Dennis Edwards / Siedah Garrett,[195.158  -7.144],"[[23.193857 -4.86416 ]
 [-4.86416   1.020101]]",Linus Loves Feat. Sam Obernik,[158.15975  -9.132  ],"[[2.70480818e+03 2.29789845e+01]
 [2.29789845e+01 2.11171150e+00]]",0.92129387767401
15,[63.804 -5.946],Medley: Joy To The World / Hark The Herald Angels Sing,Lee Greenwood,[111.10125    -10.66455556],"[[1052.56268347   11.51423233]
 [  11.51423233    4.60810936]]",Cham,[107.60718182  -6.92268182],"[[1551.50945215  -14.47563424]
 [ -14.47563424    2.44923431]]",1.1730682571138797
16,[ 75.185 -16.766],Hearts Aren't Made To Break (They're Made To Love),Lee Greenwood,[111.10125    -10.66455556],"[[1052.56268347   11.51423233]
 [  11.51423233    4.60810936]]",The Watersons,[ 92.98890625 -17.196625  ],"[[614.96718008 -18.75410606]
 [-18.75410606  11.99845823]]",0.718710522470903
17,[ 81.142 -14.992],Winter Song,Sara Bareilles,[124.74611538  -8.15823077],"[[654.46960326  38.0128606 ]
 [ 38.0128606   11.58544964]]",Dr. Strangely Strange,[ 90.54925 -14.867  ],"[[681.59010385 -16.77689225]
 [-16.77689225   3.709198  ]]",0.41037333433132656
18,[ 91.166 -10.946],Forever Mine,VGhlIE8ZSmF5cw==,[118.76685714 -10.38914286],"[[2.23180295e+02 2.16937122e-01]
 [2.16937122e-01 2.32584998e+00]]",Cloud,[100.806125 -10.32525 ],"[[1546.57898986   29.21750403]
 [  29.21750403    4.35903444]]",0.3326045199984946
19,[194.094  -7.687],Gotta Get My Broom Out,The O'Jays,[122.90430303  -8.72606061],"[[869.68012212 -12.89957977]
 [-12.89957977   3.70358603]]",Hi-Standard,[168.68241463  -7.26682927],"[[1511.70350295    5.27333032]
 [   5.27333032    2.8702628 ]]",0.7196848171483927
20,[194.135 -14.402],For The Love Of Money,The O'Jays,[122.90430303  -8.72606061],"[[869.68012212 -12.89957977]
 [-12.89957977   3.70358603]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",0.7098112509790605
21,[ 86.641 -14.147],Get Ready,The Pioneers,[123.07618182  -9.44286364],"[[724.91093742  11.47608843]
 [ 11.47608843   4.09861303]]",Bobby Vinton,[ 95.03596078 -13.64717647],"[[1220.16203778   -3.18747426]
 [  -3.18747426    4.9939535 ]]",0.33520356743226676
22,[85.042 -6.2  ],Look Inside Your Heart,The Pioneers,[123.07618182  -9.44286364],"[[724.91093742  11.47608843]
 [ 11.47608843   4.09861303]]",Cham,[107.60718182  -6.92268182],"[[1551.50945215  -14.47563424]
 [ -14.47563424    2.44923431]]",0.6644782496607426
23,[159.93 -12.03],Don't Stop,Pioneers,[130.051  -12.6225],"[[297.9476635    7.5381515 ]
 [  7.5381515   10.38652825]]",Big Bopper,[157.16815 -11.7891 ],"[[883.54116043  10.65680811]
 [ 10.65680811  10.00566719]]",0.12745975923315156
24,[ 81.132 -11.204],It's Ok,Land Of Talk,[121.22194118  -6.62964706],"[[532.71210941  21.76474102]
 [ 21.76474102   4.32493735]]",Captain Beefheart & The Magic Band,[ 81.14166667 -11.14733333],"[[347.81621589  14.81476789]
 [ 14.81476789   3.62662256]]",0.03250673496232918
25,[108.576 -12.069],(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,[108.6334  -8.1246],"[[3.97724000e-03 3.48948400e-02]
 [3.48948400e-02 4.13019644e+00]]",Johnny Tillotson,[107.50484783 -12.0468913 ],"[[636.22470978  19.0734468 ]
 [ 19.0734468    7.39042666]]",0.04727110112290667
26,[ 87.012 -26.469],Revenge,Brook Benton,[112.47286047 -15.99430233],"[[579.32072847   1.6019464 ]
 [  1.6019464   15.59897544]]",Yo-Yo Ma;Emanuel Ax,[ 86.75392857 -26.761     ],"[[795.75271578   2.35631121]
 [  2.35631121   7.27806329]]",0.10839208822303992
27,[161.07  -21.926],The Ties That Bind,Brook Benton,[112.47286047 -15.99430233],"[[579.32072847   1.6019464 ]
 [  1.6019464   15.59897544]]",John Surman_ John Abercrombie_ Drew Gress_ Jack DeJohnette,[132.184 -21.784],"[[2.75652397e+03 4.00810950e+01]
 [4.00810950e+01 1.42738567e+00]]",0.8226073705836577
28,[87.315 -7.632],I Like It,DeBarge,[116.49442857 -11.10342857],"[[186.7684421  -36.58172424]
 [-36.58172424  13.19957753]]",Prefuse-73,[93.5712 -7.6654],"[[7.45975044e+02 1.32213728e+00]
 [1.32213728e+00 2.93131240e-01]]",0.24346384419643197
29,[134.081 -16.923],I got you babe,De Barge,[126.106 -15.76 ],"[[63.600626 -9.274925]
 [-9.274925  1.35257 ]]",Sweeney's Men,[135.26492308 -16.82769231],"[[920.58841646 -15.62199951]
 [-15.62199951   5.54430844]]",0.06360094706152769
30,[202.029  -3.801],Intro,B.A.D.,[117.60835556  -5.49266667],"[[7.93440677e+02 1.21154681e-01]
 [1.21154681e-01 2.59563029e+00]]",First Class,[173.76636364  -6.12709091],"[[1247.77548432  101.30548149]
 [ 101.30548149    9.26826963]]",0.8006936184147427
31,[200.045  -4.827],My Lovely Girl,B.A.D.,[117.60835556  -5.49266667],"[[7.93440677e+02 1.21154681e-01]
 [1.21154681e-01 2.59563029e+00]]",The Subhumans,[178.84726667  -5.15726667],"[[1.33772633e+03 8.13080747e+00]
 [8.13080747e+00 2.53113862e-01]]",0.7314934213134263
32,[233.888 -13.154],Sony Dub,Big Audio Dynamite,[120.36361702 -11.60080851],"[[615.88638383  -1.82192882]
 [ -1.82192882   7.03863877]]",Andy Irvine,[155.73733333 -14.09733333],"[[2.76997235e+03 3.44346258e+01]
 [3.44346258e+01 9.68590556e-01]]",1.4853872740348164
33,[ 49.976 -13.593],A Party Dub,Big Audio Dynamite,[120.36361702 -11.60080851],"[[615.88638383  -1.82192882]
 [ -1.82192882   7.03863877]]",Cherryholmes,[112.841      -12.02733333],"[[3.51865407e+03 3.99434313e+01]
 [3.99434313e+01 3.01810856e+00]]",1.1858405533514647
34,[104.089 -15.268],(She's Got) The Fever,The Pointer Sisters,[121.66432184  -9.00955172],"[[1073.7190789     1.48617287]
 [   1.48617287    5.50897913]]",Czech Philharmonic Orchestra,[103.705      -15.13277778],"[[724.29014544 -31.95061411]
 [-31.95061411   6.40370384]]",0.05481756014939362
35,[139.576 -16.214],Freedom,The Pointer Sisters,[121.66432184  -9.00955172],"[[1073.7190789     1.48617287]
 [   1.48617287    5.50897913]]",Jacob Miller and Inner Circle,[142.15371429 -16.2275    ],"[[366.15715235   9.719251  ]
 [  9.719251     1.55758854]]",0.15267948073570653
36,[211.454  -9.73 ],Overture - Prelude To Islandia,The Pointer Sisters,[121.66432184  -9.00955172],"[[1073.7190789     1.48617287]
 [   1.48617287    5.50897913]]",Diskjokke,[143.502    -8.91625],"[[ 3.88597590e+03 -3.19305720e+01]
 [-3.19305720e+01  1.18276969e+00]]",1.1221004267341566
37,[208.05   -8.604],Chainey Do,The Pointer Sisters,[121.66432184  -9.00955172],"[[1073.7190789     1.48617287]
 [   1.48617287    5.50897913]]",Linus Loves Feat. Sam Obernik,[158.15975  -9.132  ],"[[2.70480818e+03 2.29789845e+01]
 [2.29789845e+01 2.11171150e+00]]",0.9622302183544345
38,[166.465 -18.493],I Ask You,Essie Jain,[ 96.82156667 -18.825     ],"[[1128.26317158   30.5767975 ]
 [  30.5767975    28.701955  ]]",The Academy of St. Martin in the Fields / Thurston Dart / Sir Neville Marriner,[145.18216667 -16.9485    ],"[[1582.22761514  -36.78597508]
 [ -36.78597508    7.04713692]]",0.6813429592302256
39,[ 84.716 -35.676],Midnight Starship,Essie Jain,[ 96.82156667 -18.825     ],"[[1128.26317158   30.5767975 ]
 [  30.5767975    28.701955  ]]",Carlos Nakai,[ 90.0815     -34.01533333],"[[1052.45553058    3.4636065 ]
 [   3.4636065     6.06344122]]",0.6880391796116834
40,[95.811 -6.928],A Groovy Kind Of Love,The Mindbenders,[121.712       -6.91316667],"[[363.57753467  26.90434567]
 [ 26.90434567   3.16082814]]",More Fire Crew,[101.634       -7.13545455],"[[391.17031864   0.51112109]
 [  0.51112109   5.36078998]]",0.3087242947292614
41,[241.583 -12.5  ],Call On Me - Original,Imagination,[129.08942  -9.46134],"[[ 1.24726366e+03 -4.51401172e-02]
 [-4.51401172e-02  1.06016901e+01]]",Andy Irvine,[155.73733333 -14.09733333],"[[2.76997235e+03 3.44346258e+01]
 [3.44346258e+01 9.68590556e-01]]",1.7833873625167596
42,[214.911  -4.83 ],State Of Love,Imagination,[129.08942  -9.46134],"[[ 1.24726366e+03 -4.51401172e-02]
 [-4.51401172e-02  1.06016901e+01]]",The Subhumans,[178.84726667  -5.15726667],"[[1.33772633e+03 8.13080747e+00]
 [8.13080747e+00 2.53113862e-01]]",1.0146803663332786
43,[103.006 -13.08 ],Loving Tight,Imagination Featuring Leee John,[123.22583333 -15.47833333],"[[502.67251581 -25.18887372]
 [-25.18887372   1.93993989]]",Les Misérables - Original London Cast,[103.5538     -13.14226667],"[[1300.58765956   33.42402475]
 [  33.42402475    6.96842746]]",0.03442011513820244
44,[170.017  -7.621],Poetaster,Miracle Fortress,[124.23214286  -8.89928571],"[[313.02752398  13.9044384 ]
 [ 13.9044384    3.02799478]]",Hi-Standard,[168.68241463  -7.26682927],"[[1511.70350295    5.27333032]
 [   5.27333032    2.8702628 ]]",0.21523537186394592
45,[ 72.228 -17.904],In The Bleak Midwinter,Chris Squire,[113.59622222 -10.02416667],"[[1083.7496824    24.13895387]
 [  24.13895387    4.69068058]]",Rava - Galliano - Marcotulli..,[ 94.03   -17.1495],"[[1831.4908585    34.6158045 ]
 [  34.6158045     1.96304325]]",0.5908683533838712
46,[ 82.27  -17.991],Sho'Nuff Must Be Luv,Heatwave,[122.06461702 -12.72895745],"[[555.5077537  -14.92092875]
 [-14.92092875   7.89875342]]",Jack Kerouac,[ 83.08153333 -18.57686667],"[[455.25129845  35.7664456 ]
 [ 35.7664456   10.00977725]]",0.24507315517232997
47,[193.705 -14.471],Lay It On Me,Heatwave,[122.06461702 -12.72895745],"[[555.5077537  -14.92092875]
 [-14.92092875   7.89875342]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",0.6676568463690594
48,[122.376 -19.633],It's A Long Way Around,Burning Spear,[141.7782234 -12.6401383],"[[ 6.26905907e+02 -3.87614682e-01]
 [-3.87614682e-01  5.99035597e+00]]",Alex de Grassi,[118.35960976 -19.45668293],"[[1600.8784289   -10.29357444]
 [ -10.29357444    4.64853922]]",0.12255196393989307
