,outlier_value,origin_context,low_bound,high_bound,mean,fit_context,new_low_bound,new_high_bound,new_mean,score
0,-20.142,Blue Oyster Cult,-15.584287499999999,-6.878,-9.816295918367347,John Surman,-24.821049999999996,-13.890500000000001,-20.040875000000003,0.10112499999999613
1,-27.067,Blue Oyster Cult,-15.584287499999999,-6.878,-9.816295918367347,Pierre-Laurent Aimard,-33.093041666666664,-18.568714285714282,-26.568782608695656,0.49821739130434395
2,-5.589,Blue Oyster Cult,-15.584287499999999,-6.878,-9.816295918367347,Sensuuri,-8.386923076923079,-3.5484999999999998,-5.592900000000002,0.003900000000001569
3,-6.562,Blue Oyster Cult,-15.584287499999999,-6.878,-9.816295918367347,High Contrast,-10.657795454545449,-4.71092307692308,-6.559673076923078,0.0023269230769225047
4,-6.429,Blue Oyster Cult,-15.584287499999999,-6.878,-9.816295918367347,Fractured,-7.929,-4.809000000000002,-6.422222222222222,0.00677777777777866
5,-6.624,Blue Oyster Cult,-15.584287499999999,-6.878,-9.816295918367347,Boys Noize,-12.413958333333332,-3.251538461538461,-6.608142857142858,0.01585714285714168
6,-6.008,Blue Oyster Cult,-15.584287499999999,-6.878,-9.816295918367347,Charge 69,-8.571,-4.058173913043478,-5.9997142857142824,0.00828571428571756
7,-15.07,Blue Oyster Cult,-15.584287499999999,-6.878,-9.816295918367347,Enrico Rava,-23.020999999999997,-12.040999999999999,-15.072000000000001,0.002000000000000668
8,-12.864,Blue Oyster Cult,-15.584287499999999,-6.878,-9.816295918367347,MARC COHN,-18.442,-8.15453571428571,-12.871111111111112,0.007111111111111512
9,-18.583,Tone-Loc,-16.589,-5.846250000000001,-10.507,Pat Metheny,-27.23225,-10.99576595744681,-18.544,0.038999999999997925
10,-8.387,Meic Stevens,-21.08526666666667,-8.81,-15.916,Sister Sledge,-14.119589285714293,-5.431906593406592,-8.38886170212766,0.001861702127659015
11,-2.185,American Hi-Fi,-6.983481481481482,-2.8804534883720927,-4.3334761904761905,Tagada Jones,-6.659676470588235,-1.8054999999999999,-3.3989062500000005,1.2139062500000004
12,-7.193,American Hi-Fi,-6.983481481481482,-2.8804534883720927,-4.3334761904761905,Tam Tam Go!,-10.652588235294125,-5.020327272727273,-7.182000000000002,0.010999999999997456
13,-8.17,American Hi-Fi,-6.983481481481482,-2.8804534883720927,-4.3334761904761905,Journey,-13.898999999999997,-4.526999999999999,-8.164823529411766,0.005176470588233784
14,-2.554,American Hi-Fi,-6.983481481481482,-2.8804534883720927,-4.3334761904761905,Manifesto Jukebox,-3.3804,-2.3914000000000004,-2.9835000000000003,0.42950000000000044
15,-6.882,Lady Bug Transistor,-13.477375000000002,-7.369130434782608,-9.901088235294118,Joss Stone,-11.812224137931034,-4.1396363636363604,-6.876392857142859,0.005607142857140701
16,-2.655,Deerhoof,-17.684125,-4.496987804878049,-7.899040540540537,Manifesto Jukebox,-3.3804,-2.3914000000000004,-2.9835000000000003,0.32850000000000046
17,-15.015,Deerhoof,-17.684125,-4.496987804878049,-7.899040540540537,Linton Kwesi Johnson,-17.0845625,-11.139000000000003,-15.035461538461538,0.020461538461537643
18,-31.947,Deerhoof,-17.684125,-4.496987804878049,-7.899040540540537,Sylvain Chauveau,-39.4753,-16.285800000000002,-29.806999999999956,2.140000000000043
19,-3.083,Deerhoof,-17.684125,-4.496987804878049,-7.899040540540537,Manifesto Jukebox,-3.3804,-2.3914000000000004,-2.9835000000000003,0.09949999999999992
20,-4.658,Deerhoof,-17.684125,-4.496987804878049,-7.899040540540537,Planlos,-7.973000000000001,-3.5587758620689653,-4.649076923076923,0.008923076923077033
21,-4.844,Deerhoof,-17.684125,-4.496987804878049,-7.899040540540537,Audio Bullys,-9.98589189189189,-2.503230769230769,-4.838666666666666,0.005333333333334522
22,-3.813,Deerhoof,-17.684125,-4.496987804878049,-7.899040540540537,Stick To Your Guns,-11.568888888888889,-3.124,-3.7989999999999995,0.014000000000000679
23,-19.995,Deerhoof,-17.684125,-4.496987804878049,-7.899040540540537,David Zinman,-28.632,-16.37604255319149,-19.998272727272724,0.003272727272722875
24,-21.89,Deerhoof,-17.684125,-4.496987804878049,-7.899040540540537,Martha Argerich,-38.03999999999999,-15.707600000000001,-21.879526315789473,0.010473684210527523
25,-5.946,Lee Greenwood,-14.259175000000006,-7.5029705882352955,-10.258882352941178,Third Eye Blind,-11.533199999999999,-3.475592592592593,-5.936478260869568,0.009521739130431861
26,-16.766,Lee Greenwood,-14.259175000000006,-7.5029705882352955,-10.258882352941178,Punch Brothers,-21.278,-12.834333333333335,-16.785999999999998,0.019999999999999574
27,-3.603,Sara Bareilles,-13.831204545454547,-5.025687500000002,-6.409575000000002,Kap Bambino,-9.291166666666665,-2.194000000000001,-3.506,0.09700000000000042
28,-14.992,Sara Bareilles,-13.831204545454547,-5.025687500000002,-6.409575000000002,De Dannan,-23.438333333333336,-9.943608695652172,-14.97518181818182,0.016818181818180733
