id,optimal_window,score
Qxyt0gn3KccE2ccT,4,7673.780675917571
nGt1GGh9WFmysu7h,3,6613.2113464930035
sDSnjyax8ttPZvHr,3,0.0
9PUnKxg2n1co5JI1,6,12538.728486002716
ooxZUFY2IRpA02Yn,12,8539.361303907885
LODlZ2SaoVCgSUaM,16,1.0
ccs2vuKZfAgrrojJ,8,7054.623342379572
mlq4F69u3jr768fh,9,9772.781865723831
K7AixbDxtEfGfwBL,3,4784.5120886149625
oYZKrbnN2fdRshrI,3,6886.3434067761955
avSFhKA5GZMDAuLM,3,4269.680651953942
uDEHUuCSIiJAvQlk,6,5488.105143623144
wseHTzAPGkOJ5uHL,3,0.0
X5FoSQ4ny3E6s94E,6,4272.680651953942
EkKbwXy1Wot9kifd,6,3742.0147370033665
A9C2osj800F2RbEl,9,9772.781865723831
RaMVsVrYfjR1VKTY,3,0.0
srAsQf33vwEJDAG8,3,0.0
IbTpgwsTyRXvVZ2Y,16,3820.113034719745
NwSjkKySQXnQ4btw,9,5488.105143623144
w3Vg10XBsjPVumTp,9,4272.680651953942
gz9tBvoNmB6BT2JO,6,7673.780675917571
zXvKWTFA7HFBJb9D,3,0.0
EmOm2ZZVy0SFwLYH,4,10818.328212956982
AAde0x5mxmP6EuRg,3,0.0
Uclh5Wg5aXGOicnR,6,7054.623342379572
Upuhx11XPf6JlZLz,3,0.0
LPUaF14KgWALDjWQ,3,0.0
ol00ke9y7JZaB0e6,3,0.0
DXjra5qmHSWXXDpB,9,9772.781865723831
h9RfaO1aejBY2U23,6,5489.105143623144
JkDZBV4YxpXFvqHr,6,7054.623342379572
SehEBAl11bPZTVCT,3,0.0
b5VbF3zvGzkIW8BD,4,4269.680651953942
2HjjUuV1cw7Ls7iU,6,5489.105143623144
1XzxOKCm9v5SgzQO,9,10742.087944509414
39lpFHs6YK8fqlWf,3,9772.781865723831
dKuAeKggDqmR3ccw,8,4269.680651953942
cVZd1wCtRYIqRnaV,3,0.0
3BoStRdOGMQv4GtU,9,5488.105143623144
H1Ibn5UOKKSI1agW,6,1.0
0yR7pq9jSRr7v37T,3,4273.680651953942
nfBTxeGY09zLP6Eh,6,9891.288571981822
mOmT7CO1gxnIEffQ,3,5484.105143623144
sPMJrGTyYkemmejS,4,9179.867476949094
9ghOA1okIBq7pZlT,3,0.0
5cgD0aw7nGWgBFhh,6,6498.42091554646
